REGLAS DE GOBIERNO DE DATOS;;;;;;;;;;;;
;;;;;;;;;;;;
Ejemplo:;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente principal de clasificación:;k_sc_codigo_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente técnica de soporte:;ka_ni_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
NA:;obsoleto / excluido;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ARKETOPS:;control fiscal histórico;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ka_ni_fuente;sc_nombre_fuente;k_sc_codigo_fuente;CLASIFICACION CASTILLITOS;;UNIDAD;TIPO;IMPACTA VENTAS;IMPACTA COBROS;VISIBLE;ACTIVO;HISTORIAL;OBSERVACION
25;DEVOLUCIÓN VENTAS;D1;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;NO;NO;SI;FACTURACION OFICIAL EMPRESA
27;DEVOLUCIÓN COMPRAS;DC;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;DEVOLUCIONES DE COMPRAS OFICIALES AFECTA LAS CXP
40;PEDIDOS CLIENTES;PD;OFICIAL;;EMPRESA;PEDIDO COMERCIAL F1;NO;NO;SI;SI;NO;"Orden formal de venta previa a facturación; sirve para proyección comercial y control operativo (PEDIDOS DEL DIA SALE DE ESTA FUENTE)"
41;AJUSTE PEDIDOS;AP;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;SIRVE PARA EL INFORME DE TRAZABILIDAD DE LOS DEPSCHOS POR PEDIDO
68;ANTICIPO PROVEEDORES;1V;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;CUANDO HACEMOS ANTICIPO A ALGUN PROVEEDOR
101;FACTURA ELECTRONICA DE VENTA;FE;OFICIAL;FACTURA EMPRESA;EMPRESA;F1 OFICIAL;SI (+);NO;SI;SI;NO;FACTURACION OFICIAL EMPRESA
102;NOTA CREDITO ELECTRONICA;NE;OFICIAL;;EMPRESA;F1 OFICIAL;SI (+);NO;SI;SI;NO;FACTURACION OFICIAL EMPRESA
105;PROVISION DE NOMINA ;NO;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;PROVISION DE NOMINA DE EMPLEADOS SE UTILIZA 1 VEZ CADA FIN DE MES
108;RECIBO DE CAJA SANDIEGO ;RS;OFICIAL;RECIBOS SAN DIEGO;SAN DIEGO ;POS;NO;NO;SI;SI;NO;FACTURACION OFICIAL TIENDA FISICA
111;SISTECREDITO ;SI;NO SE USA;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;EXCLUIR TOTALMENTE
122;ANTICIPO CLIENTE EMPRESA;A1;OFICIAL;;EMPRESA;F1 OFICIAL;NO;SI (+);SI;SI;NO;RECIBOS OFICIALES ANTICIPOS CLIENTES
125;AJUSTES MEDIOS DE PAGO;AJ;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;NO;NO;SI;NO TENER EN CUENTA
130;DEVOLUCION EN GASTOS ;DG;OFICIAL;;EMPRESA;F1 OFICIAL;NO;NO;SI;SI;NO;DEVOLUCIONES DE GASTOS CXAUSADOS AFECTA LAS CXP EN POSITIVO
